#node1	node2	combined_score
RAB1A	SURF4	0.657
RAB1A	MICAL1	0.485
RAB1A	ARF1	0.754
RASGRF2	GNG11	0.653
RASGRF2	CALM1	0.419
RCN1	PAX6	0.541
REEP1	APC	0.523
REEP1	ATL2	0.950
RFX4	PLAGL1	0.484
RGMA	NTN1	0.658
RGMA	BMP4	0.666
RGMA	EPHA4	0.512
RGS16	GNG11	0.518
RGS16	NMU	0.499
RGS16	LPAR1	0.559
RHOU	TIAM1	0.479
RHOU	WNT1	0.677
RHOU	FN1	0.478
RHOU	EPHA2	0.611
RHOU	CDKN1A	0.455
RHOU	DAAM1	0.455
RHOU	CTNNB1	0.591
RIPPLY3	ARX	0.423
RNF150	OCIAD2	0.462
ROBO1	NTN1	0.824
ROBO1	SLIT1	0.999
ROBO1	EPHA4	0.461
ROBO1	EPHA3	0.553
ROBO1	DPYSL3	0.488
ROBO1	LHX2	0.811
ROBO1	GLI2	0.503
ROBO1	ATP2C2	0.469
ROBO1	NELL2	0.404
ROBO1	ADAMTS9	0.421
ROBO1	CTNNB1	0.405
ROBO1	SLIT2	0.999
RORA	ID2	0.430
RORA	SOX2	0.492
RORA	FOXO3	0.570
RORA	WNT5B	0.628
RORA	FZD5	0.796
RRAGD	ARF1	0.403
RRAGD	ASS1	0.404
RRAGD	EIF4EBP2	0.412
RTL1	DLK1	0.920
RTL1	PLAGL1	0.472
RTL1	BEGAIN	0.602
RTL1	DIO3	0.791
SAT1	ITGA9	0.737
SAT1	GFPT1	0.487
SAT1	ASS1	0.416
SAT1	FTL	0.547
SAT1	SLC3A2	0.466
SEC24D	LMAN1	0.785
SEC24D	SERPINF1	0.542
SEC24D	KDELR2	0.496
SEC24D	WNT1	0.400
SEC24D	SURF4	0.432
SEC24D	COL1A2	0.446
SEC24D	COPB2	0.486
SEC24D	GRIA1	0.526
SEC24D	SERPINH1	0.601
SEC24D	RAB1A	0.687
SEC24D	CRTAP	0.707
SEC61G	XBP1	0.842
SEC61G	CLU	0.411
SEC61G	SERP1	0.607
SEM1	GLI1	0.400
SEM1	SHH	0.400
SEM1	PRICKLE1	0.436
SEM1	GLI3	0.400
SEM1	CDKN1A	0.400
SEM1	GLI2	0.460
SEM1	FBXW4	0.738
SEPTIN10	SOWAHC	0.534
SEPTIN10	SEPTIN3	0.940
SEPTIN3	PLK2	0.400
SEPTIN3	SEPTIN10	0.940
SERP1	XBP1	0.856
SERP1	SEC61G	0.607
SERPINF1	WNT1	0.486
SERPINF1	SEC24D	0.542
SERPINF1	FGF2	0.625
SERPINF1	CLU	0.658
SERPINF1	COL1A2	0.669
SERPINF1	CRTAP	0.748
SERPINF1	FN1	0.846
SERPINH1	LGALS1	0.451
SERPINH1	LGALS3	0.542
SERPINH1	SEC24D	0.601
SERPINH1	WNT1	0.418
SERPINH1	COL1A2	0.879
SERPINH1	ARF4	0.617
SERPINH1	CRTAP	0.900
SERPINH1	ANXA2	0.616
SERPINH1	FN1	0.740
SERPINH1	COL4A2	0.880
SERPINH1	COL11A1	0.673
SERPINH1	COL2A1	0.791
SERPINH1	COL25A1	0.563
SFRP1	IGFBP3	0.403
SFRP1	BMP7	0.406
SFRP1	FGF2	0.414
SFRP1	APC	0.428
SFRP1	GLI3	0.433
SFRP1	NKD1	0.434
SFRP1	PRICKLE1	0.434
SFRP1	HHIP	0.439
SFRP1	FRZB	0.466
SFRP1	GLI2	0.468
SFRP1	FOXO3	0.476
SFRP1	FOXA2	0.500
SFRP1	TFPI2	0.506
SFRP1	BMP4	0.512
SFRP1	FOXA1	0.524
SFRP1	PTCH1	0.531
SFRP1	COL11A1	0.539
SFRP1	SHH	0.577
SFRP1	GLI1	0.691
SFRP1	FZD5	0.728
SFRP1	FZD8	0.768
SFRP1	CTNNB1	0.874
SFRP1	WNT5B	0.915
SFRP1	WNT1	0.981
SHH	NTN1	0.539
SHH	SFRP1	0.577
SHH	GLI1	0.979
SHH	BMP4	0.922
SHH	FOXA1	0.867
SHH	JAG1	0.616
SHH	PSMB7	0.438
SHH	SIX3	0.904
SHH	FGF2	0.749
SHH	EGF	0.783
SHH	CDK6	0.400
SHH	WNT1	0.805
SHH	FRZB	0.438
SHH	HHIP	0.999
SHH	SEM1	0.400
SHH	WLS	0.408
SHH	LRP4	0.414
SHH	WNT5B	0.418
SHH	IGF1R	0.431
SHH	SPRY2	0.439
SHH	CDKN1A	0.443
SHH	DCX	0.453
SHH	VAX1	0.480
SHH	LHX2	0.581
SHH	SOX1	0.583
SHH	SP8	0.608
SHH	FGFR3	0.633
SHH	NKX2-1	0.689
SHH	NES	0.703
SHH	FN1	0.716
SHH	FGFR2	0.717
SHH	OTX2	0.740
SHH	FOXG1	0.757
SHH	BMP7	0.777
SHH	PITX2	0.779
SHH	NKX2-2	0.821
SHH	SOX2	0.824
SHH	PAX6	0.829
SHH	ZIC2	0.864
SHH	CTNNB1	0.870
SHH	FGF8	0.954
SHH	FOXA2	0.956
SHH	GLI3	0.966
SHH	GLI2	0.975
SHH	GAS1	0.999
SHH	PTCH1	0.999
SHH	CDON	0.999
SIX3	BMP4	0.483
SIX3	FZD5	0.426
SIX3	FEZF1	0.438
SIX3	NES	0.452
SIX3	NKX2-2	0.455
SIX3	CDON	0.457
SIX3	WNT1	0.458
SIX3	FGF8	0.541
SIX3	NKX2-1	0.557
SIX3	SOX1	0.615
SIX3	SOX2	0.615
SIX3	GAS1	0.621
SIX3	VAX1	0.622
SIX3	FOXG1	0.644
SIX3	PTCH1	0.655
SIX3	PITX2	0.664
SIX3	LHX2	0.763
SIX3	GLI2	0.774
SIX3	FOXA2	0.783
SIX3	OTX2	0.878
SIX3	SHH	0.904
SIX3	ZIC2	0.935
SIX3	PAX6	0.951
SLC38A2	SLC3A2	0.712
SLC38A4	SLC3A2	0.421
SLC38A4	PLAGL1	0.449
SLC38A4	DLK1	0.453
SLC38A4	SMOC1	0.606
SLC3A2	LGALS3	0.829
SLC3A2	SLC38A2	0.712
SLC3A2	AARS1	0.533
SLC3A2	SLC38A4	0.421
SLC3A2	FTL	0.429
SLC3A2	SAT1	0.466
SLIT1	NTN1	0.809
SLIT1	EPHA4	0.455
SLIT1	NES	0.515
SLIT1	SLIT2	0.515
SLIT1	FN1	0.532
SLIT1	ADGRL1	0.568
SLIT1	CTNNB1	0.583
SLIT1	PAX6	0.609
SLIT1	LHX2	0.628
SLIT1	ROBO1	0.999
SLIT2	NTN1	0.821
SLIT2	SLIT1	0.515
SLIT2	EPHA3	0.400
SLIT2	ADGRL1	0.551
SLIT2	EPHA2	0.401
SLIT2	EPHA7	0.482
SLIT2	LHX2	0.574
SLIT2	GLI2	0.477
SLIT2	ROBO1	0.999
SLIT2	CTNNB1	0.426
SLIT2	PAX6	0.503
SMC5	CUL4B	0.554
SMOC1	SLC38A4	0.606
SMOC1	GLI3	0.415
SOWAHC	ADD3	0.406
SOWAHC	SEPTIN10	0.534
SOWAHC	DAAM1	0.438
SOX1	BMP4	0.576
SOX1	SIX3	0.615
SOX1	FGF2	0.604
SOX1	EGF	0.434
SOX1	WNT1	0.421
SOX1	SHH	0.583
SOX1	FGF8	0.506
SOX1	SOX2	0.771
SOX1	ZIC2	0.403
SOX1	NKX2-1	0.456
SOX1	ELAVL4	0.459
SOX1	POU3F1	0.463
SOX1	LHX2	0.464
SOX1	DCX	0.469
SOX1	CTNNB1	0.563
SOX1	NKX2-2	0.590
SOX1	FOXG1	0.681
SOX1	FOXA2	0.701
SOX1	PNMA2	0.745
SOX1	NES	0.795
SOX1	OTX2	0.807
SOX1	PAX6	0.899
SOX2	GLI1	0.772
SOX2	ID2	0.418
SOX2	BMP4	0.745
SOX2	FOXA1	0.740
SOX2	JAG1	0.701
SOX2	USP44	0.422
SOX2	SIX3	0.615
SOX2	RORA	0.492
SOX2	FGF2	0.933
SOX2	EGF	0.725
SOX2	CDK6	0.474
SOX2	GJA1	0.612
SOX2	MSI2	0.772
SOX2	WNT1	0.541
SOX2	SHH	0.824
SOX2	CLU	0.461
SOX2	FGF8	0.650
SOX2	DSP	0.411
SOX2	HNRNPU	0.419
SOX2	ANXA2	0.425
SOX2	ZFHX4	0.437
SOX2	FGFR3	0.442
SOX2	PODXL	0.442
SOX2	DLK1	0.466
SOX2	EPHA7	0.486
SOX2	PITX2	0.503
SOX2	QKI	0.504
SOX2	FGFR2	0.512
SOX2	CDKN1A	0.520
SOX2	PTCH1	0.532
SOX2	L1TD1	0.541
SOX2	BMP7	0.542
SOX2	ELAVL4	0.573
SOX2	ZIC2	0.581
SOX2	POU3F1	0.583
SOX2	PTPRZ1	0.586
SOX2	NKX2-2	0.600
SOX2	LHX2	0.601
SOX2	ITGA6	0.607
SOX2	FN1	0.622
SOX2	NKX2-1	0.627
SOX2	IGF1R	0.637
SOX2	FOXO3	0.640
SOX2	AGO1	0.682
SOX2	DCX	0.686
SOX2	TCF12	0.691
SOX2	GLI2	0.694
SOX2	GLI3	0.747
SOX2	FOXG1	0.749
SOX2	SOX1	0.771
SOX2	FOXA2	0.841
SOX2	PBX1	0.870
SOX2	NES	0.891
SOX2	OTX2	0.914
SOX2	PAX6	0.977
SOX2	CTNNB1	0.991
SP8	SHH	0.608
SP8	ETV5	0.416
SP8	FGF8	0.446
SP8	NKX2-1	0.433
SP8	LHX2	0.520
SP8	CTNNB1	0.494
SP8	PAX6	0.600
SPON1	LRP4	0.503
SPON1	ZNF385B	0.405
SPRY1	EGF	0.612
SPRY1	IL17RD	0.453
SPRY1	ETV5	0.543
SPRY1	FGF8	0.700
SPRY1	SPRY4	0.536
SPRY1	SPRY2	0.767
SPRY1	FGFR2	0.402
SPRY2	DUSP4	0.567
SPRY2	JAG1	0.474
SPRY2	EGF	0.742
SPRY2	NKD1	0.526
SPRY2	IL17RD	0.639
SPRY2	SHH	0.439
SPRY2	ETV5	0.599
SPRY2	FGF8	0.721
SPRY2	FOXO3	0.455
SPRY2	SPRY4	0.625
SPRY2	PBX1	0.489
SPRY2	FGFR2	0.490
SPRY2	SPRY1	0.767
SPRY4	DUSP4	0.572
SPRY4	EGF	0.482
SPRY4	IL17RD	0.871
SPRY4	ETV5	0.638
SPRY4	FGF8	0.713
SPRY4	FEZF1	0.447
SPRY4	SPRY1	0.536
SPRY4	FGFR2	0.588
SPRY4	SPRY2	0.625
SRSF6	QKI	0.469
SRSF6	HNRNPU	0.778
SSBP3	LDB2	0.887
SSBP3	LHX2	0.726
SULF2	FGF2	0.685
SULF2	HS3ST3B1	0.418
SULF2	HS6ST2	0.593
SURF4	LMAN1	0.949
SURF4	KDELR2	0.691
SURF4	ARCN1	0.659
SURF4	SEC24D	0.432
SURF4	ARF4	0.674
SURF4	COPB2	0.702
SURF4	ARF1	0.643
SURF4	RAB1A	0.657
TCF12	EFNB1	0.423
TCF12	ID2	0.924
TCF12	VGF	0.502
TCF12	LDB2	0.662
TCF12	SOX2	0.691
TCF12	FOXO3	0.452
TCF12	PBX1	0.519
TCF7L2	EFNB1	0.533
TCF7L2	ID2	0.525
TCF7L2	FOXA1	0.609
TCF7L2	APC	0.814
TCF7L2	WNT1	0.512
TCF7L2	IRS1	0.585
TCF7L2	CTNND2	0.912
TCF7L2	EDNRA	0.400
TCF7L2	FOXG1	0.521
TCF7L2	FZD8	0.407
TCF7L2	ZIC2	0.566
TCF7L2	TLE4	0.909
TCF7L2	NKX2-2	0.407
TCF7L2	CTNNBIP1	0.483
TCF7L2	WNT5B	0.468
TCF7L2	FOXA2	0.703
TCF7L2	ADAMTS9	0.569
TCF7L2	PAX6	0.424
TCF7L2	CTNNB1	0.999
TENM1	EGF	0.582
TENM1	ADGRL1	0.986
TENM1	AFF2	0.538
TFPI2	SFRP1	0.506
TIAM1	EFNB1	0.577
TIAM1	NTRK2	0.908
TIAM1	TPM1	0.412
TIAM1	RHOU	0.479
TIAM1	CTNNB1	0.645
TLE4	APC	0.523
TLE4	WNT1	0.498
TLE4	PAX6	0.466
TLE4	OTX2	0.659
TLE4	TCF7L2	0.909
TLE4	CTNNB1	0.935
TLE6	NLGN1	0.491
TLE6	FOXG1	0.556
TMSB10	LGALS1	0.427
TMSB10	FTL	0.433
TNC	ITGB8	0.688
TNC	LAMC1	0.447
TNC	ITGA9	0.952
TNC	EGF	0.599
TNC	ITGA6	0.686
TNC	ITGB5	0.701
TNC	FN1	0.814
TNNT1	GAS1	0.442
TNNT1	TPM1	0.990
TNNT1	DMD	0.594
TNNT1	CDON	0.772
TNNT1	ACTN3	0.771
TPBG	ADGRL1	0.534
TPM1	VCL	0.957
TPM1	TIAM1	0.412
TPM1	ITGB5	0.647
TPM1	HNRNPU	0.420
TPM1	FGFR2	0.480
TPM1	CALM1	0.656
TPM1	ACTN3	0.681
TPM1	DMD	0.781
TPM1	MYLK	0.857
TPM1	TNNT1	0.990
TRIM9	NTN1	0.571
USP2	CTNNB1	0.585
USP44	SOX2	0.422
VAT1L	ECHDC2	0.566
VAX1	NTN1	0.479
VAX1	BMP4	0.407
VAX1	SIX3	0.622
VAX1	SHH	0.480
VAX1	FOXG1	0.402
VAX1	PAX6	0.416
VAX1	LHX2	0.470
VCL	CTNND2	0.416
VCL	ITGA6	0.420
VCL	ITGB8	0.437
VCL	FGF2	0.455
VCL	PALLD	0.469
VCL	ACTN3	0.536
VCL	CALM1	0.558
VCL	CDH11	0.603
VCL	IRS1	0.603
VCL	EGF	0.616
VCL	IL17RD	0.627
VCL	DSP	0.655
VCL	GJA1	0.795
VCL	MYLK	0.814
VCL	ITGB5	0.907
VCL	DMD	0.940
VCL	TPM1	0.957
VCL	FN1	0.992
VCL	CTNNB1	0.997
VGF	FN1	0.438
VGF	FGF8	0.456
VGF	TCF12	0.502
WLS	WNT1	0.940
WLS	SHH	0.408
WLS	CTNNB1	0.591
WLS	WNT5B	0.853
WNT1	SFRP1	0.981
WNT1	GLI1	0.503
WNT1	BMP4	0.595
WNT1	SERPINF1	0.486
WNT1	JAG1	0.694
WNT1	APC	0.760
WNT1	SIX3	0.458
WNT1	FGF2	0.480
WNT1	EGF	0.520
WNT1	NKD1	0.649
WNT1	SEC24D	0.400
WNT1	GLI3	0.403
WNT1	FN1	0.413
WNT1	GLI2	0.416
WNT1	SERPINH1	0.418
WNT1	SOX1	0.421
WNT1	BMP7	0.444
WNT1	COL1A2	0.450
WNT1	NES	0.452
WNT1	PTCH1	0.463
WNT1	FOXA2	0.484
WNT1	TLE4	0.498
WNT1	TCF7L2	0.512
WNT1	FOXO3	0.533
WNT1	PAX6	0.534
WNT1	SOX2	0.541
WNT1	WNT5B	0.543
WNT1	CRTAP	0.603
WNT1	DAAM1	0.657
WNT1	RHOU	0.677
WNT1	OTX2	0.750
WNT1	FRZB	0.785
WNT1	FGF8	0.802
WNT1	SHH	0.805
WNT1	WLS	0.940
WNT1	CTNNB1	0.973
WNT1	FZD5	0.976
WNT1	FZD8	0.995
WNT5B	SFRP1	0.915
WNT5B	BMP4	0.480
WNT5B	RORA	0.628
WNT5B	NKD1	0.431
WNT5B	WNT1	0.543
WNT5B	FRZB	0.595
WNT5B	SHH	0.418
WNT5B	WLS	0.853
WNT5B	FZD5	0.941
WNT5B	FZD8	0.961
WNT5B	DAAM1	0.693
WNT5B	BMP7	0.402
WNT5B	TCF7L2	0.468
WNT5B	CTNNB1	0.684
XBP1	FOXO3	0.423
XBP1	AARS1	0.432
XBP1	PAX6	0.438
XBP1	IRS1	0.443
XBP1	PBX1	0.449
XBP1	FOXA1	0.499
XBP1	BCL2L11	0.689
XBP1	SEC61G	0.842
XBP1	SERP1	0.856
XBP1	GFPT1	0.862
ZFHX4	SOX2	0.437
ZIC2	BMP4	0.402
ZIC2	SIX3	0.935
ZIC2	ZIC5	0.721
ZIC2	SHH	0.864
ZIC2	GAS1	0.727
ZIC2	SOX2	0.581
ZIC2	SOX1	0.403
ZIC2	PTCH1	0.646
ZIC2	POU3F1	0.636
ZIC2	LHX2	0.445
ZIC2	FBN2	0.404
ZIC2	CDON	0.464
ZIC2	PAX6	0.494
ZIC2	GLI2	0.495
ZIC2	ARX	0.537
ZIC2	TCF7L2	0.566
ZIC2	CTNNB1	0.617
ZIC2	GLI3	0.625
ZIC2	OTX2	0.684
ZIC2	FOXA2	0.753
ZIC5	OTX2	0.501
ZIC5	ZIC2	0.721
ZMAT3	DDB2	0.505
ZMAT3	GADD45A	0.432
ZMAT3	CCNG1	0.570
ZMAT3	CDKN1A	0.687
ZNF385B	SPON1	0.405
ZNF385B	FEZF1	0.458
ZNF521	GLI1	0.577
ZNF521	BMP4	0.504
ZNF521	GLI2	0.603
