X,Figure1E,Figure2C,Figure2D,Figure2H,Figure4B,genes,sc_w3_w4,mouse
ENSG00000184515,NA,Dorsal forebrain,NA,NA,Cluster 2,BEX5,expressed,NA
ENSG00000178074,NA,Dorsal forebrain,NA,NA,NA,C2orf69,expressed,NA
ENSG00000180616,NA,Dorsal forebrain,NA,NA,NA,SSTR2,expressed,NA
ENSG00000114346,NA,Dorsal forebrain,NA,NA,Cluster 2,ECT2,expressed,NA
ENSG00000187772,NA,Dorsal forebrain,NA,NA,NA,LIN28B,expressed,NA
ENSG00000135045,NA,Dorsal forebrain,NA,NA,Cluster 2,C9orf40,expressed,NA
ENSG00000006432,NA,Dorsal forebrain,NA,NA,NA,MAP3K9,expressed,NA
ENSG00000156136,NA,Dorsal forebrain,NA,NA,NA,DCK,expressed,NA
ENSG00000173276,NA,Dorsal forebrain,NA,NA,NA,ZBTB21,expressed,NA
ENSG00000060237,NA,Dorsal forebrain,NA,NA,NA,WNK1,expressed,NA
ENSG00000133069,NA,Dorsal forebrain,NA,NA,NA,TMCC2,expressed,NA
ENSG00000124212,NA,Dorsal forebrain,NA,NA,NA,PTGIS,expressed,NA
ENSG00000281406,NA,Dorsal forebrain,NA,NA,NA,BLACAT1,NA,NA
ENSG00000117394,NA,Dorsal forebrain,NA,NA,NA,SLC2A1,expressed,NA
ENSG00000186007,NA,Dorsal forebrain,NA,NA,NA,LEMD1,expressed,NA
ENSG00000158711,NA,Dorsal forebrain,NA,NA,Cluster 2,ELK4,expressed,NA
ENSG00000139496,NA,Dorsal forebrain,NA,NA,NA,NUP58,NA,NA
ENSG00000099875,NA,Dorsal forebrain,NA,NA,NA,MKNK2,expressed,NA
ENSG00000110076,NA,Dorsal forebrain,NA,NA,NA,NRXN2,expressed,NA
ENSG00000167654,NA,Dorsal forebrain,NA,NA,Cluster 2,ATCAY,expressed,NA
ENSG00000160209,NA,Dorsal forebrain,NA,NA,NA,PDXK,expressed,NA
ENSG00000120318,NA,Dorsal forebrain,NA,NA,NA,ARAP3,expressed,NA
ENSG00000110651,NA,Dorsal forebrain,NA,NA,NA,CD81,expressed,NA
ENSG00000136159,NA,Dorsal forebrain,NA,NA,NA,NUDT15,expressed,NA
ENSG00000164611,NA,Dorsal forebrain,NA,NA,Cluster 2,PTTG1,expressed,NA
ENSG00000123983,NA,Dorsal forebrain,NA,NA,NA,ACSL3,expressed,NA
ENSG00000097021,NA,Dorsal forebrain,NA,NA,NA,ACOT7,expressed,NA
ENSG00000152413,NA,Dorsal forebrain,NA,NA,Cluster 2,HOMER1,expressed,NA
ENSG00000163923,NA,Dorsal forebrain,NA,NA,NA,RPL39L,expressed,NA
ENSG00000100767,NA,Dorsal forebrain,NA,NA,Cluster 1,PAPLN,expressed,NA
ENSG00000139364,NA,Dorsal forebrain,NA,NA,Cluster 2,TMEM132B,expressed,NA
ENSG00000111962,NA,Dorsal forebrain,NA,NA,NA,UST,expressed,NA
ENSG00000198435,NA,Dorsal forebrain,NA,NA,NA,NRARP,expressed,NA
ENSG00000106278,NA,Dorsal forebrain,NA,NA,NA,PTPRZ1,expressed,NA
ENSG00000148700,NA,Dorsal forebrain,NA,NA,Cluster 2,ADD3,expressed,NA
ENSG00000147065,NA,Dorsal forebrain,NA,NA,Cluster 2,MSN,expressed,NA
ENSG00000182247,NA,Dorsal forebrain,NA,NA,NA,UBE2E2,expressed,NA
ENSG00000167460,NA,Dorsal forebrain,NA,NA,Cluster 2,TPM4,expressed,NA
ENSG00000173812,NA,Dorsal forebrain,NA,NA,Cluster 2,EIF1,expressed,NA
ENSG00000120254,NA,Dorsal forebrain,NA,NA,Cluster 2,MTHFD1L,expressed,NA
ENSG00000204442,NA,Dorsal forebrain,NA,NA,NA,NALF1,NA,NA
ENSG00000115884,NA,Dorsal forebrain,NA,NA,Cluster 2,SDC1,expressed,NA
ENSG00000006634,NA,Dorsal forebrain,NA,NA,Cluster 2,DBF4,expressed,NA
ENSG00000138495,NA,Dorsal forebrain,NA,NA,Cluster 2,COX17,expressed,NA
ENSG00000167081,NA,Dorsal forebrain,NA,NA,NA,PBX3,expressed,NA
ENSG00000069849,NA,Dorsal forebrain,NA,NA,Cluster 2,ATP1B3,expressed,NA
ENSG00000173848,NA,Dorsal forebrain,NA,NA,NA,NET1,expressed,NA
ENSG00000120265,NA,Dorsal forebrain,NA,NA,NA,PCMT1,expressed,NA
ENSG00000002933,NA,Dorsal forebrain,NA,NA,NA,TMEM176A,expressed,NA
ENSG00000186577,NA,Dorsal forebrain,NA,NA,NA,SMIM29,NA,NA
ENSG00000138658,NA,Dorsal forebrain,NA,NA,Cluster 2,ZGRF1,NA,NA
ENSG00000164056,NA,Dorsal forebrain,NA,NA,Cluster 2,SPRY1,expressed,NA
ENSG00000164466,NA,Dorsal forebrain,NA,NA,NA,SFXN1,expressed,NA
ENSG00000167196,NA,Dorsal forebrain,NA,NA,NA,FBXO22,expressed,NA
ENSG00000111674,NA,Dorsal forebrain,NA,NA,NA,ENO2,expressed,NA
ENSG00000170275,NA,Dorsal forebrain,NA,NA,Cluster 2,CRTAP,expressed,NA
ENSG00000168280,NA,Dorsal forebrain,NA,NA,NA,KIF5C,expressed,NA
ENSG00000153944,NA,Dorsal forebrain,NA,NA,NA,MSI2,expressed,NA
ENSG00000161513,NA,Dorsal forebrain,NA,NA,NA,FDXR,expressed,NA
ENSG00000228526,NA,Dorsal forebrain,NA,NA,NA,MIR34AHG,NA,NA
ENSG00000118263,NA,Dorsal forebrain,NA,NA,Cluster 2,KLF7,expressed,NA
ENSG00000109189,NA,Dorsal forebrain,NA,NA,NA,USP46,expressed,NA
ENSG00000128487,NA,Dorsal forebrain,NA,NA,NA,SPECC1,expressed,NA
ENSG00000120539,NA,Dorsal forebrain,NA,NA,Cluster 2,MASTL,expressed,NA
ENSG00000120899,NA,Dorsal forebrain,NA,NA,NA,PTK2B,expressed,NA
ENSG00000154917,NA,Dorsal forebrain,NA,NA,NA,RAB6B,expressed,NA
ENSG00000141753,NA,Dorsal forebrain,NA,NA,NA,IGFBP4,expressed,NA
ENSG00000260338,NA,Dorsal forebrain,NA,NA,NA,NA,NA,NA
ENSG00000142089,NA,Dorsal forebrain,NA,NA,Cluster 2,IFITM3,expressed,NA
ENSG00000123240,NA,Dorsal forebrain,NA,NA,Cluster 2,OPTN,expressed,NA
ENSG00000134574,NA,Dorsal forebrain,NA,NA,NA,DDB2,expressed,NA
ENSG00000056487,NA,Dorsal forebrain,NA,NA,NA,PHF21B,expressed,NA
ENSG00000186166,NA,Dorsal forebrain,NA,NA,Cluster 2,CENATAC,NA,NA
ENSG00000047849,NA,Dorsal forebrain,NA,NA,NA,MAP4,expressed,NA
ENSG00000189077,NA,Dorsal forebrain,NA,NA,NA,TMEM120A,NA,NA
ENSG00000236801,NA,Dorsal forebrain,NA,NA,NA,RPL24P8,NA,NA
ENSG00000138018,NA,Dorsal forebrain,NA,NA,NA,SELENOI,NA,NA
ENSG00000196361,NA,Dorsal forebrain,NA,NA,Cluster 1,ELAVL3,expressed,NA
ENSG00000201289,NA,Dorsal forebrain,NA,NA,NA,RN7SKP76,NA,NA
ENSG00000108551,NA,Dorsal forebrain,NA,NA,NA,RASD1,expressed,NA
ENSG00000100592,NA,Dorsal forebrain,NA,NA,NA,DAAM1,expressed,NA
ENSG00000196937,NA,Dorsal forebrain,NA,NA,NA,FAM3C,expressed,NA
ENSG00000160888,NA,Dorsal forebrain,NA,NA,Cluster 2,IER2,expressed,NA
ENSG00000136250,NA,Dorsal forebrain,NA,NA,NA,AOAH,expressed,NA
ENSG00000169862,NA,Dorsal forebrain,NA,NA,NA,CTNND2,expressed,NA
ENSG00000137501,NA,Dorsal forebrain,NA,NA,NA,SYTL2,expressed,NA
ENSG00000140522,NA,Dorsal forebrain,NA,NA,NA,RLBP1,expressed,NA
ENSG00000114302,NA,Dorsal forebrain,NA,NA,NA,PRKAR2A,expressed,NA
ENSG00000148672,NA,Dorsal forebrain,NA,NA,NA,GLUD1,expressed,NA
ENSG00000075711,NA,Dorsal forebrain,NA,NA,NA,DLG1,expressed,NA
ENSG00000103121,NA,Dorsal forebrain,NA,NA,NA,CMC2,expressed,NA
ENSG00000092096,NA,Dorsal forebrain,NA,NA,NA,SLC22A17,expressed,NA
ENSG00000227992,NA,Dorsal forebrain,NA,NA,NA,NA,NA,NA
ENSG00000253551,NA,Dorsal forebrain,NA,NA,NA,LOC101929341,NA,NA
ENSG00000149243,NA,Dorsal forebrain,NA,NA,NA,KLHL35,expressed,NA
ENSG00000147488,NA,Dorsal forebrain,NA,NA,NA,ST18,expressed,NA
ENSG00000162992,NA,Dorsal forebrain,NA,NA,NA,NEUROD1,expressed,NA
ENSG00000236782,NA,Dorsal forebrain,NA,NA,NA,ZNF593OS,NA,NA
ENSG00000198887,NA,Dorsal forebrain,NA,NA,Cluster 2,SMC5,expressed,NA
ENSG00000155903,NA,Dorsal forebrain,NA,NA,Cluster 2,RASA2,expressed,NA
ENSG00000104177,NA,Dorsal forebrain,NA,NA,NA,MYEF2,expressed,NA
ENSG00000261609,NA,Dorsal forebrain,NA,NA,NA,GAN,expressed,NA
ENSG00000152767,NA,Dorsal forebrain,NA,NA,Cluster 2,FARP1,expressed,NA
ENSG00000147454,NA,Dorsal forebrain,NA,NA,Cluster 2,SLC25A37,expressed,NA
ENSG00000124171,NA,Dorsal forebrain,NA,NA,NA,PARD6B,expressed,NA
ENSG00000142733,NA,Dorsal forebrain,NA,NA,NA,MAP3K6,expressed,NA
ENSG00000163960,NA,Dorsal forebrain,NA,NA,NA,UBXN7,expressed,NA
ENSG00000144730,NA,Dorsal forebrain,NA,NA,NA,IL17RD,expressed,NA
ENSG00000155254,NA,Dorsal forebrain,NA,NA,Cluster 2,MARVELD1,expressed,NA
ENSG00000089693,NA,Dorsal forebrain,NA,NA,NA,MLF2,expressed,NA
ENSG00000172175,NA,Dorsal forebrain,NA,NA,Cluster 2,MALT1,expressed,NA
ENSG00000147509,NA,Dorsal forebrain,NA,NA,NA,RGS20,expressed,NA
ENSG00000114450,NA,Dorsal forebrain,NA,NA,NA,GNB4,expressed,NA
ENSG00000149503,NA,Dorsal forebrain,NA,NA,NA,INCENP,expressed,NA
ENSG00000170836,NA,Dorsal forebrain,NA,NA,NA,PPM1D,expressed,NA
ENSG00000124243,NA,Dorsal forebrain,NA,NA,Cluster 2,BCAS4,expressed,NA
ENSG00000130595,NA,Dorsal forebrain,NA,NA,NA,TNNT3,expressed,NA
ENSG00000168348,NA,Dorsal forebrain,NA,NA,NA,INSM2,expressed,NA
ENSG00000198860,NA,Dorsal forebrain,NA,NA,NA,TSEN15,expressed,NA
ENSG00000108384,NA,Dorsal forebrain,NA,NA,NA,RAD51C,expressed,NA
ENSG00000049449,NA,Dorsal forebrain,NA,NA,NA,RCN1,expressed,NA
ENSG00000178202,NA,Dorsal forebrain,NA,NA,NA,POGLUT3,NA,NA
ENSG00000070367,NA,Dorsal forebrain,NA,NA,NA,EXOC5,expressed,NA
ENSG00000053770,NA,Dorsal forebrain,NA,NA,NA,AP5M1,expressed,NA
ENSG00000087095,NA,Dorsal forebrain,NA,NA,NA,NLK,expressed,NA
ENSG00000116514,NA,Dorsal forebrain,NA,NA,NA,RNF19B,expressed,NA
ENSG00000183853,NA,Dorsal forebrain,NA,NA,NA,KIRREL1,NA,NA
ENSG00000162738,NA,Dorsal forebrain,NA,NA,Cluster 1,VANGL2,expressed,NA
ENSG00000161638,NA,Dorsal forebrain,NA,NA,Cluster 2,ITGA5,expressed,NA
ENSG00000143228,NA,Dorsal forebrain,NA,NA,NA,NUF2,expressed,NA
ENSG00000110880,NA,Dorsal forebrain,NA,NA,NA,CORO1C,expressed,NA
ENSG00000198947,NA,Dorsal forebrain,NA,NA,Cluster 2,DMD,expressed,NA
ENSG00000167468,NA,Dorsal forebrain,NA,NA,NA,GPX4,expressed,NA
ENSG00000149212,NA,Dorsal forebrain,NA,NA,NA,SESN3,expressed,NA
ENSG00000144406,NA,Dorsal forebrain,NA,NA,Cluster 2,UNC80,expressed,NA
ENSG00000116679,NA,Dorsal forebrain,NA,NA,NA,IVNS1ABP,expressed,NA
ENSG00000120963,NA,Dorsal forebrain,NA,NA,NA,ZNF706,expressed,NA
ENSG00000140525,NA,Dorsal forebrain,NA,NA,NA,FANCI,expressed,NA
ENSG00000147894,NA,Dorsal forebrain,NA,NA,NA,C9orf72,expressed,NA
ENSG00000153207,NA,Dorsal forebrain,NA,NA,NA,AHCTF1,expressed,NA
ENSG00000261678,NA,Dorsal forebrain,NA,NA,NA,SCRT1,expressed,NA
ENSG00000168710,NA,Dorsal forebrain,NA,NA,Cluster 2,AHCYL1,expressed,NA
ENSG00000126259,NA,Dorsal forebrain,NA,NA,NA,KIRREL2,expressed,NA
ENSG00000130309,NA,Dorsal forebrain,NA,NA,NA,COLGALT1,expressed,NA
ENSG00000120833,NA,Dorsal forebrain,NA,NA,NA,SOCS2,expressed,NA
ENSG00000279398,NA,Dorsal forebrain,NA,NA,NA,NA,NA,NA
ENSG00000107560,NA,Dorsal forebrain,NA,NA,NA,RAB11FIP2,expressed,NA
ENSG00000135097,NA,Dorsal forebrain,NA,NA,NA,MSI1,expressed,NA
ENSG00000089159,NA,Dorsal forebrain,NA,NA,NA,PXN,expressed,NA
ENSG00000095370,NA,Dorsal forebrain,NA,NA,NA,SH2D3C,expressed,NA
ENSG00000064651,NA,Dorsal forebrain,NA,NA,NA,SLC12A2,expressed,NA
ENSG00000169174,NA,Dorsal forebrain,NA,NA,NA,PCSK9,expressed,NA
ENSG00000126778,NA,Dorsal forebrain,NA,NA,NA,SIX1,expressed,NA
ENSG00000260477,NA,Dorsal forebrain,NA,NA,NA,LINC01584,NA,NA
ENSG00000197965,NA,Dorsal forebrain,NA,NA,Cluster 2,MPZL1,expressed,NA
ENSG00000188523,NA,Dorsal forebrain,NA,NA,NA,CFAP77,NA,NA
ENSG00000104290,NA,Dorsal forebrain,NA,NA,Cluster 2,FZD3,expressed,NA
ENSG00000067141,NA,Dorsal forebrain,NA,NA,NA,NEO1,expressed,NA
ENSG00000247809,NA,Dorsal forebrain,NA,NA,NA,NR2F2-AS1,expressed,NA
ENSG00000128641,NA,Dorsal forebrain,NA,NA,NA,MYO1B,expressed,NA
ENSG00000168916,NA,Dorsal forebrain,NA,NA,NA,ZNF608,expressed,NA
ENSG00000184613,NA,Dorsal forebrain,NA,NA,NA,NELL2,expressed,NA
ENSG00000110042,NA,Dorsal forebrain,NA,NA,NA,DTX4,expressed,NA
ENSG00000112290,NA,Dorsal forebrain,NA,NA,NA,WASF1,expressed,NA
ENSG00000074181,NA,Dorsal forebrain,NA,NA,NA,NOTCH3,expressed,NA
ENSG00000239653,NA,Dorsal forebrain,NA,NA,NA,PSMD6-AS2,expressed,NA
ENSG00000078687,NA,Dorsal forebrain,NA,NA,Cluster 2,TNRC6C,expressed,NA
ENSG00000100281,NA,Dorsal forebrain,NA,NA,NA,HMGXB4,expressed,NA
ENSG00000115138,NA,Dorsal forebrain,NA,NA,NA,POMC,expressed,NA
ENSG00000081913,NA,Dorsal forebrain,NA,NA,NA,PHLPP1,expressed,NA
ENSG00000163635,NA,Dorsal forebrain,NA,NA,Cluster 2,ATXN7,expressed,NA
ENSG00000116675,NA,Dorsal forebrain,NA,NA,NA,DNAJC6,expressed,NA
ENSG00000138623,NA,Dorsal forebrain,NA,NA,NA,SEMA7A,expressed,NA
ENSG00000164082,NA,Dorsal forebrain,NA,NA,NA,GRM2,expressed,NA
ENSG00000117016,NA,Dorsal forebrain,NA,NA,NA,RIMS3,expressed,NA
ENSG00000152056,NA,Early differentiation,NA,NA,NA,AP1S3,expressed,NA
ENSG00000187720,NA,Early differentiation,NA,NA,NA,THSD4,expressed,NA
ENSG00000213988,NA,Early differentiation,NA,NA,NA,ZNF90,expressed,NA
ENSG00000156973,NA,Early differentiation,NA,NA,NA,PDE6D,expressed,NA
ENSG00000136868,NA,Early differentiation,NA,NA,Cluster 2,SLC31A1,expressed,NA
ENSG00000151233,NA,Early differentiation,NA,NA,Cluster 2,GXYLT1,expressed,NA
ENSG00000196227,NA,Early differentiation,NA,NA,NA,FAM217B,expressed,NA
ENSG00000197555,NA,Early differentiation,NA,NA,Cluster 2,SIPA1L1,expressed,NA
ENSG00000117139,NA,Early differentiation,NA,NA,NA,KDM5B,expressed,NA
ENSG00000198929,NA,Early differentiation,NA,NA,NA,NOS1AP,expressed,NA
ENSG00000134253,NA,Early differentiation,NA,NA,NA,TRIM45,expressed,NA
ENSG00000205726,NA,Early differentiation,NA,NA,NA,ITSN1,expressed,NA
ENSG00000109686,NA,Early differentiation,NA,NA,NA,SH3D19,expressed,NA
ENSG00000109956,NA,Early differentiation,NA,NA,NA,B3GAT1,expressed,NA
ENSG00000075340,NA,Early differentiation,NA,NA,NA,ADD2,expressed,NA
ENSG00000116667,NA,Early differentiation,NA,NA,Cluster 2,C1orf21,expressed,NA
ENSG00000213853,NA,Early differentiation,NA,NA,NA,EMP2,expressed,NA
ENSG00000078053,NA,Early differentiation,NA,NA,Cluster 2,AMPH,expressed,NA
ENSG00000123975,NA,Early differentiation,NA,NA,NA,CKS2,expressed,NA
ENSG00000111144,NA,Early differentiation,NA,NA,NA,LTA4H,expressed,NA
ENSG00000033170,NA,Early differentiation,NA,NA,NA,FUT8,expressed,NA
ENSG00000274286,NA,Early differentiation,NA,NA,Cluster 2,ADRA2B,expressed,NA
ENSG00000162490,NA,Early differentiation,NA,NA,NA,DRAXIN,expressed,NA
ENSG00000129534,NA,Early differentiation,NA,NA,NA,MIS18BP1,expressed,NA
ENSG00000075043,NA,Early differentiation,NA,NA,Cluster 1,KCNQ2,expressed,NA
ENSG00000111640,NA,Early differentiation,NA,NA,NA,GAPDH,expressed,NA
ENSG00000184428,NA,Early differentiation,NA,NA,NA,TOP1MT,expressed,NA
ENSG00000233834,NA,Early differentiation,NA,NA,NA,GIRGL,NA,NA
ENSG00000124523,NA,Early differentiation,NA,NA,NA,SIRT5,expressed,NA
ENSG00000205213,NA,Early differentiation,NA,NA,Cluster 2,LGR4,expressed,NA
ENSG00000198865,NA,Early differentiation,NA,NA,NA,CCDC152,expressed,NA
ENSG00000104872,NA,Early differentiation,NA,NA,NA,PIH1D1,expressed,NA
ENSG00000074800,NA,Early differentiation,NA,NA,NA,ENO1,expressed,NA
ENSG00000103044,NA,Early differentiation,NA,NA,NA,HAS3,expressed,NA
ENSG00000057935,NA,Early differentiation,NA,NA,NA,MTA3,expressed,NA
ENSG00000161249,NA,Early differentiation,NA,NA,NA,DMKN,expressed,NA
ENSG00000138750,NA,Early differentiation,NA,NA,NA,NUP54,expressed,NA
ENSG00000183742,NA,Early differentiation,NA,NA,NA,MACC1,expressed,NA
ENSG00000149476,NA,Early differentiation,NA,NA,NA,TKFC,NA,NA
ENSG00000277200,NA,Early differentiation,NA,NA,NA,CCDC92B,NA,NA
ENSG00000165029,NA,Early differentiation,NA,NA,Cluster 1,ABCA1,expressed,NA
ENSG00000181896,NA,Early differentiation,NA,NA,NA,ZNF101,expressed,NA
ENSG00000167191,NA,Early differentiation,NA,NA,NA,GPRC5B,expressed,NA
ENSG00000130939,NA,Early differentiation,NA,NA,NA,UBE4B,expressed,NA
ENSG00000143469,NA,Early differentiation,NA,NA,NA,SYT14,expressed,NA
ENSG00000275549,NA,Early differentiation,NA,NA,NA,STPG3-AS1,NA,NA
ENSG00000198246,NA,Early differentiation,NA,NA,NA,SLC29A3,expressed,NA
ENSG00000163704,NA,Early differentiation,NA,NA,NA,PRRT3,expressed,NA
ENSG00000070214,NA,Early differentiation,NA,NA,NA,SLC44A1,expressed,NA
ENSG00000146955,NA,Early differentiation,NA,NA,NA,RAB19,NA,NA
ENSG00000225077,NA,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000175220,NA,Early differentiation,NA,NA,NA,ARHGAP1,expressed,NA
ENSG00000077348,NA,Early differentiation,NA,NA,NA,EXOSC5,expressed,NA
ENSG00000106591,NA,Early differentiation,NA,NA,NA,MRPL32,expressed,NA
ENSG00000177192,NA,Early differentiation,NA,NA,NA,PUS1,expressed,NA
ENSG00000147684,NA,Early differentiation,NA,NA,NA,NDUFB9,expressed,NA
ENSG00000101361,NA,Early differentiation,NA,NA,NA,NOP56,expressed,NA
ENSG00000091127,NA,Early differentiation,NA,NA,Cluster 1,PUS7,expressed,NA
ENSG00000167747,NA,Early differentiation,NA,NA,NA,C19orf48P,NA,NA
ENSG00000269343,NA,Early differentiation,NA,NA,NA,ZNF587B,expressed,NA
ENSG00000067533,NA,Early differentiation,NA,NA,NA,RRP15,expressed,NA
ENSG00000058804,NA,Early differentiation,NA,NA,NA,NDC1,expressed,NA
ENSG00000274373,NA,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000261786,NA,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000166347,NA,Early differentiation,NA,NA,NA,CYB5A,expressed,NA
ENSG00000130768,NA,Early differentiation,NA,NA,NA,SMPDL3B,expressed,NA
ENSG00000114767,NA,Early differentiation,NA,NA,NA,RRP9,expressed,NA
ENSG00000272398,NA,Early differentiation,NA,NA,Cluster 1,CD24,NA,NA
ENSG00000154645,NA,Early differentiation,NA,NA,Cluster 2,CHODL,expressed,NA
ENSG00000046604,NA,Early differentiation,NA,NA,NA,DSG2,expressed,NA
ENSG00000165175,NA,Early differentiation,NA,NA,NA,MID1IP1,expressed,NA
ENSG00000125730,NA,Early differentiation,NA,NA,NA,C3,NA,NA
ENSG00000060140,NA,Early differentiation,NA,NA,NA,STYK1,NA,NA
ENSG00000109689,NA,Early differentiation,NA,NA,NA,STIM2,expressed,NA
ENSG00000138135,NA,Early differentiation,NA,NA,NA,CH25H,expressed,NA
ENSG00000287925,NA,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000196371,NA,Early differentiation,NA,NA,NA,FUT4,expressed,NA
ENSG00000130303,NA,Early differentiation,NA,NA,NA,BST2,expressed,NA
ENSG00000017260,NA,Early differentiation,NA,NA,NA,ATP2C1,expressed,NA
ENSG00000110660,NA,Early differentiation,NA,NA,NA,SLC35F2,expressed,NA
ENSG00000120158,NA,Early differentiation,NA,NA,NA,RCL1,expressed,NA
ENSG00000170608,NA,Early differentiation,NA,NA,NA,FOXA3,expressed,NA
ENSG00000167658,NA,Early differentiation,NA,NA,NA,EEF2,expressed,NA
ENSG00000169783,NA,Early differentiation,NA,NA,NA,LINGO1,expressed,NA
ENSG00000203875,NA,Early differentiation,NA,NA,NA,SNHG5,NA,NA
ENSG00000137955,NA,Early differentiation,NA,NA,NA,RABGGTB,expressed,NA
ENSG00000169679,NA,Early differentiation,NA,NA,NA,BUB1,expressed,NA
ENSG00000128739,NA,Early differentiation,NA,NA,NA,SNRPN,expressed,NA
ENSG00000196139,NA,Early differentiation,NA,NA,NA,AKR1C3,expressed,NA
ENSG00000063180,NA,Early differentiation,NA,NA,NA,CA11,expressed,NA
ENSG00000174607,NA,Early differentiation,NA,NA,NA,UGT8,expressed,NA
ENSG00000185905,NA,Early differentiation,NA,NA,NA,C16orf54,NA,NA
ENSG00000198930,NA,Early differentiation,NA,NA,NA,CSAG1,NA,NA
ENSG00000092345,NA,Early differentiation,NA,NA,NA,DAZL,expressed,NA
ENSG00000198938,NA,Early differentiation,NA,NA,Cluster 2,COX3,NA,NA
ENSG00000059378,NA,Early differentiation,NA,NA,NA,PARP12,expressed,NA
ENSG00000103356,NA,Early differentiation,NA,NA,NA,EARS2,expressed,NA
ENSG00000155980,NA,Early differentiation,NA,NA,NA,KIF5A,expressed,NA
ENSG00000112379,NA,Early differentiation,NA,NA,NA,ARFGEF3,NA,NA
ENSG00000167281,NA,Early differentiation,NA,NA,NA,RBFOX3,expressed,NA
ENSG00000223756,NA,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000215417,NA,Early differentiation,NA,NA,NA,MIR17HG,NA,NA
ENSG00000143970,NA,Early differentiation,NA,NA,NA,ASXL2,expressed,NA
ENSG00000061492,NA,Early differentiation,NA,NA,NA,WNT8A,NA,NA
ENSG00000132953,NA,Early differentiation,NA,NA,NA,XPO4,expressed,NA
ENSG00000138399,NA,Early differentiation,NA,NA,NA,FASTKD1,expressed,NA
ENSG00000132330,NA,Early differentiation,NA,NA,NA,SCLY,expressed,NA
ENSG00000075035,NA,Early differentiation,NA,NA,NA,WSCD2,expressed,NA
ENSG00000116830,NA,Early differentiation,NA,NA,NA,TTF2,expressed,NA
ENSG00000086712,NA,Early differentiation,NA,NA,Cluster 2,TXLNG,expressed,NA
ENSG00000130720,NA,Early differentiation,NA,NA,NA,FIBCD1,expressed,NA
ENSG00000188770,NA,Early differentiation,NA,NA,NA,OPTC,expressed,NA
ENSG00000280780,NA,Early differentiation,NA,NA,NA,JAKMIP2-AS1,NA,NA
ENSG00000157992,NA,Early differentiation,NA,NA,NA,KRTCAP3,expressed,NA
ENSG00000181192,NA,Early differentiation,NA,NA,NA,DHTKD1,expressed,NA
ENSG00000250046,NA,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000163002,NA,Early differentiation,NA,NA,NA,NUP35,expressed,NA
ENSG00000092051,NA,Early differentiation,NA,NA,NA,JPH4,expressed,NA
ENSG00000142207,NA,Early differentiation,NA,NA,NA,URB1,expressed,NA
ENSG00000108679,NA,Early differentiation,NA,NA,NA,LGALS3BP,expressed,NA
ENSG00000198586,NA,Early differentiation,NA,NA,NA,TLK1,expressed,NA
ENSG00000156928,NA,Early differentiation,NA,NA,Cluster 2,MALSU1,expressed,NA
ENSG00000130741,NA,Early differentiation,NA,NA,NA,EIF2S3,expressed,NA
ENSG00000136943,NA,Early differentiation,NA,NA,NA,CTSV,expressed,NA
ENSG00000138442,NA,Early differentiation,NA,NA,NA,WDR12,expressed,NA
ENSG00000080608,NA,Early differentiation,NA,NA,NA,PUM3,NA,NA
ENSG00000165732,NA,Early differentiation,NA,NA,NA,DDX21,expressed,NA
ENSG00000183765,NA,Early differentiation,NA,NA,Cluster 2,CHEK2,expressed,NA
ENSG00000138182,NA,Early differentiation,NA,NA,NA,KIF20B,expressed,NA
ENSG00000099810,NA,Early differentiation,NA,NA,NA,MTAP,expressed,NA
ENSG00000129354,NA,Early differentiation,NA,NA,NA,AP1M2,expressed,NA
ENSG00000286707,NA,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000187266,NA,Early differentiation,NA,NA,NA,EPOR,expressed,NA
ENSG00000248927,NA,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000104213,NA,Early differentiation,NA,NA,NA,PDGFRL,expressed,NA
ENSG00000267040,NA,Early differentiation,NA,NA,NA,ATP8B1-AS1,NA,NA
ENSG00000232677,NA,Early differentiation,NA,NA,NA,LINC00665,expressed,NA
ENSG00000105926,NA,Early differentiation,NA,NA,NA,PALS2,NA,NA
ENSG00000131653,NA,Early differentiation,NA,NA,NA,TRAF7,expressed,NA
ENSG00000250519,NA,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000085760,NA,Early differentiation,NA,NA,NA,MTIF2,expressed,NA
ENSG00000131844,NA,Early differentiation,NA,NA,NA,MCCC2,expressed,NA
ENSG00000146830,NA,Early differentiation,NA,NA,NA,GIGYF1,expressed,NA
ENSG00000258593,NA,Early differentiation,NA,NA,NA,NA,NA,NA
ENSG00000261183,NA,Early differentiation,NA,NA,NA,SPINT1-AS1,NA,NA
ENSG00000173698,NA,Early differentiation,NA,NA,NA,ADGRG2,NA,NA
ENSG00000103067,NA,Early differentiation,NA,NA,NA,ESRP2,expressed,NA
ENSG00000123213,NA,Early differentiation,NA,NA,NA,NLN,expressed,NA
ENSG00000188112,NA,Early differentiation,NA,NA,NA,C6orf132,expressed,NA
